"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"fig|6666666.77655.peg.1",127.705544992122,0.422121057811063,0.284977356146985,1.4812442066216,0.138541510102703,0.34933405389502
"fig|6666666.77655.peg.10",9.04033213892453,0.519955691802837,0.625257837330471,0.831586044603264,0.405642641894252,0.67706132039207
"fig|6666666.77655.peg.100",141.389181967125,-0.137127799898541,0.272902230786491,-0.50247958583316,0.61533020870881,0.824268199987502
"fig|6666666.77655.peg.1000",185.517143427248,-1.07744282787102,0.30432112332803,-3.54047992491681,0.000399400019123399,0.00369481862709358
"fig|6666666.77655.peg.1001",281.222241594461,-0.412057253768496,0.239924891526653,-1.71744270111599,0.0858983152495943,0.250403577128759
"fig|6666666.77655.peg.1002",215.595600893578,-0.163395319882799,0.246406439655775,-0.663113026230401,0.50725816853428,0.748056605009082
"fig|6666666.77655.peg.1003",547.820864773239,-0.476348536614493,0.208244545304076,-2.28744784608372,0.0221696962932383,0.0956297980874448
"fig|6666666.77655.peg.1004",303.48070690514,-1.08692909891095,0.234003762999898,-4.64492145329914,3.40205866461538e-06,5.69578995698363e-05
"fig|6666666.77655.peg.1005",678.285745727402,-0.419666308719355,0.199733741700907,-2.10112875844377,0.035629665025596,0.13492986437941
"fig|6666666.77655.peg.1006",5.45735392765942,0.190456638842834,0.668927821446797,0.284719266767681,0.775859228582749,0.912307689201993
"fig|6666666.77655.peg.1007",14.4408003685743,0.909416196283024,0.567775618924589,1.60171759049028,0.109218073532276,0.29826765832834
"fig|6666666.77655.peg.1008",221.468675748861,1.71672120922075,0.251828248781304,6.81703191571495,9.29406230580721e-12,4.23640258193794e-10
"fig|6666666.77655.peg.1009",538.276592936543,0.0978060623766397,0.218898268490256,0.446810580326693,0.65501183137682,0.846472836451435
"fig|6666666.77655.peg.101",64.6343215565293,-0.639065873068424,0.378270696913126,-1.68944059977025,0.0911350261089966,0.258456459791012
"fig|6666666.77655.peg.1010",604.16129672084,-0.411421468213184,0.20669602028949,-1.99046632652609,0.0465395898236935,0.162726292451882
"fig|6666666.77655.peg.1011",2029.29456548772,-0.363038312847626,0.188229769929326,-1.92869763897568,0.0537684095297082,0.179729870254638
"fig|6666666.77655.peg.1012",45.0885267412794,0.0472714879059036,0.401244442983177,0.117812193371325,0.906216467922044,0.9674472677798
"fig|6666666.77655.peg.1013",35.5705270802493,-0.105138284603218,0.440172719164286,-0.238856885094636,0.81121655864388,0.931819903879851
"fig|6666666.77655.peg.1014",1242.2522435805,-0.576964214919815,0.187184505177579,-3.08232892659817,0.00205387747861351,0.0141847681511958
"fig|6666666.77655.peg.1015",345.495567932442,-0.319776262482235,0.224642418144008,-1.4234901187595,0.154594124563049,0.375914132181924
"fig|6666666.77655.peg.1016",354.518390981105,-0.0128672704905682,0.222886154990098,-0.0577302367261881,0.953963508428695,0.988258890756503
